Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Tipo de Delito: Nivel 4;Sexo del infractor;Periodo;Total
A Delitos;1 Homicidio y sus formas;;;Total;2013;1.427
A Delitos;1 Homicidio y sus formas;;;Hombres;2023;957
A Delitos;1 Homicidio y sus formas;;;Hombres;2022;965
A Delitos;1 Homicidio y sus formas;;;Hombres;2021;997
A Delitos;1 Homicidio y sus formas;;;Hombres;2020;907
A Delitos;1 Homicidio y sus formas;;;Hombres;2019;949
A Delitos;1 Homicidio y sus formas;;;Hombres;2018;954
A Delitos;1 Homicidio y sus formas;;;Hombres;2017;1.034
A Delitos;1 Homicidio y sus formas;;;Hombres;2016;1.126
A Delitos;1 Homicidio y sus formas;;;Hombres;2015;1.232
A Delitos;1 Homicidio y sus formas;;;Hombres;2014;1.197
A Delitos;1 Homicidio y sus formas;;;Hombres;2013;1.307
A Delitos;1 Homicidio y sus formas;;;Mujeres;2023;89
A Delitos;1 Homicidio y sus formas;;;Mujeres;2022;123
A Delitos;1 Homicidio y sus formas;;;Mujeres;2021;148
A Delitos;1 Homicidio y sus formas;;;Mujeres;2020;129
A Delitos;1 Homicidio y sus formas;;;Mujeres;2019;150
A Delitos;1 Homicidio y sus formas;;;Mujeres;2018;133
A Delitos;1 Homicidio y sus formas;;;Mujeres;2017;124
A Delitos;1 Homicidio y sus formas;;;Mujeres;2016;126
A Delitos;1 Homicidio y sus formas;;;Mujeres;2015;123
A Delitos;1 Homicidio y sus formas;;;Mujeres;2014;98
A Delitos;1 Homicidio y sus formas;;;Mujeres;2013;120
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2023;313
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2022;362
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2021;401
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2020;352
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2019;340
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2018;329
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2017;364
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2016;430
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2015;463
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2014;492
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2013;513
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Hombres;2023;292
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Hombres;2022;337
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Hombres;2021;366
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Hombres;2020;326
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Hombres;2019;304
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Hombres;2018;300
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Hombres;2017;330
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Hombres;2016;400
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Hombres;2015;437
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Hombres;2014;473
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Hombres;2013;475
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Mujeres;2023;21
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Mujeres;2022;25
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Mujeres;2021;35
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Mujeres;2020;26
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Mujeres;2019;36
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Mujeres;2018;29
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Mujeres;2017;34
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Mujeres;2016;30
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Mujeres;2015;26
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Mujeres;2014;19
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Mujeres;2013;38
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2023;211
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2022;193
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2021;184
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2020;219
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2019;205
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2018;170
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2017;200
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2016;202
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2015;264
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2014;244
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2013;297
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Hombres;2023;196
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Hombres;2022;167
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Hombres;2021;152
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Hombres;2020;195
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Hombres;2019;184
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Hombres;2018;158
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Hombres;2017;177
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Hombres;2016;176
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Hombres;2015;232
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Hombres;2014;223
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Hombres;2013;262
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Mujeres;2023;15
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Mujeres;2022;26
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Mujeres;2021;32
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Mujeres;2020;24
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Mujeres;2019;21
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Mujeres;2018;12
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Mujeres;2017;23
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Mujeres;2016;26
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Mujeres;2015;32
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Mujeres;2014;21
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Mujeres;2013;35
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Total;2023;520
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Total;2022;533
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Total;2021;560
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Total;2020;464
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Total;2019;553
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Total;2018;587
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Total;2017;593
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Total;2016;613
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Total;2015;628
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Total;2014;559
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Total;2013;616
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Hombres;2023;468
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Hombres;2022;461
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Hombres;2021;479
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Hombres;2020;385
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Hombres;2019;460
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Hombres;2018;496
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Hombres;2017;526
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Hombres;2016;546
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Hombres;2015;563
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Hombres;2014;501
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Hombres;2013;569
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Mujeres;2023;52
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Mujeres;2022;72
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Mujeres;2021;81
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Mujeres;2020;79
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Mujeres;2019;93
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Mujeres;2018;91
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Mujeres;2017;67
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Mujeres;2016;67
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Mujeres;2015;65
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Mujeres;2014;58
A Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;Mujeres;2013;47
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Total;2023;2
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Total;2022;""
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Total;2021;""
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Total;2020;1
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Total;2019;1
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Total;2018;1
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Total;2017;1
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Total;2016;7
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Total;2015;""
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Total;2014;""
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Total;2013;1
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Hombres;2023;1
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Hombres;2022;""
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Hombres;2021;""
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Hombres;2020;1
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Hombres;2019;1
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Hombres;2018;0
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Hombres;2017;1
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Hombres;2016;4
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Hombres;2015;""
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Hombres;2014;""
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Hombres;2013;1
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Mujeres;2023;1
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Mujeres;2022;""
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Mujeres;2021;""
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Mujeres;2020;0
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Mujeres;2019;0
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Mujeres;2018;1
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Mujeres;2017;0
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Mujeres;2016;3
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Mujeres;2015;""
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Mujeres;2014;""
A Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;Mujeres;2013;0
A Delitos;3 Lesiones;;;Total;2023;69.946
A Delitos;3 Lesiones;;;Total;2022;72.816
A Delitos;3 Lesiones;;;Total;2021;70.678
A Delitos;3 Lesiones;;;Total;2020;53.105
A Delitos;3 Lesiones;;;Total;2019;69.437
A Delitos;3 Lesiones;;;Total;2018;67.472
A Delitos;3 Lesiones;;;Total;2017;65.519
A Delitos;3 Lesiones;;;Total;2016;55.272
A Delitos;3 Lesiones;;;Total;2015;37.082
A Delitos;3 Lesiones;;;Total;2014;34.136
A Delitos;3 Lesiones;;;Total;2013;33.767
A Delitos;3 Lesiones;;;Hombres;2023;58.988
A Delitos;3 Lesiones;;;Hombres;2022;60.864
A Delitos;3 Lesiones;;;Hombres;2021;58.737
A Delitos;3 Lesiones;;;Hombres;2020;44.074
A Delitos;3 Lesiones;;;Hombres;2019;57.072
A Delitos;3 Lesiones;;;Hombres;2018;55.590
A Delitos;3 Lesiones;;;Hombres;2017;54.011
A Delitos;3 Lesiones;;;Hombres;2016;46.730
A Delitos;3 Lesiones;;;Hombres;2015;33.382
A Delitos;3 Lesiones;;;Hombres;2014;31.102
A Delitos;3 Lesiones;;;Hombres;2013;31.015
A Delitos;3 Lesiones;;;Mujeres;2023;10.958
A Delitos;3 Lesiones;;;Mujeres;2022;11.952
A Delitos;3 Lesiones;;;Mujeres;2021;11.941
A Delitos;3 Lesiones;;;Mujeres;2020;9.031
A Delitos;3 Lesiones;;;Mujeres;2019;12.365
A Delitos;3 Lesiones;;;Mujeres;2018;11.882
A Delitos;3 Lesiones;;;Mujeres;2017;11.508
A Delitos;3 Lesiones;;;Mujeres;2016;8.542
A Delitos;3 Lesiones;;;Mujeres;2015;3.700
A Delitos;3 Lesiones;;;Mujeres;2014;3.034
A Delitos;3 Lesiones;;;Mujeres;2013;2.752
A Delitos;6 Contra la libertad;;;Total;2023;30.543
A Delitos;6 Contra la libertad;;;Total;2022;31.060
A Delitos;6 Contra la libertad;;;Total;2021;31.251
A Delitos;6 Contra la libertad;;;Total;2020;22.369
A Delitos;6 Contra la libertad;;;Total;2019;27.828
A Delitos;6 Contra la libertad;;;Total;2018;27.003
A Delitos;6 Contra la libertad;;;Total;2017;25.783
A Delitos;6 Contra la libertad;;;Total;2016;21.635
A Delitos;6 Contra la libertad;;;Total;2015;12.821
A Delitos;6 Contra la libertad;;;Total;2014;10.947
A Delitos;6 Contra la libertad;;;Total;2013;10.785
A Delitos;6 Contra la libertad;;;Hombres;2023;26.851
A Delitos;6 Contra la libertad;;;Hombres;2022;26.902
A Delitos;6 Contra la libertad;;;Hombres;2021;26.819
A Delitos;6 Contra la libertad;;;Hombres;2020;19.183
A Delitos;6 Contra la libertad;;;Hombres;2019;23.665
A Delitos;6 Contra la libertad;;;Hombres;2018;23.067
A Delitos;6 Contra la libertad;;;Hombres;2017;21.951
A Delitos;6 Contra la libertad;;;Hombres;2016;18.871
A Delitos;6 Contra la libertad;;;Hombres;2015;12.134
A Delitos;6 Contra la libertad;;;Hombres;2014;10.550
A Delitos;6 Contra la libertad;;;Hombres;2013;10.398
A Delitos;6 Contra la libertad;;;Mujeres;2023;3.692
A Delitos;6 Contra la libertad;;;Mujeres;2022;4.158
A Delitos;6 Contra la libertad;;;Mujeres;2021;4.432
A Delitos;6 Contra la libertad;;;Mujeres;2020;3.186
A Delitos;6 Contra la libertad;;;Mujeres;2019;4.163
A Delitos;6 Contra la libertad;;;Mujeres;2018;3.936
A Delitos;6 Contra la libertad;;;Mujeres;2017;3.832
A Delitos;6 Contra la libertad;;;Mujeres;2016;2.764
A Delitos;6 Contra la libertad;;;Mujeres;2015;687
A Delitos;6 Contra la libertad;;;Mujeres;2014;397
A Delitos;6 Contra la libertad;;;Mujeres;2013;387
A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2023;23.986
A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2022;24.650
A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2021;25.132
A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2020;17.983
A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2019;22.398
A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2018;21.986
A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2017;21.149
A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2016;17.827
A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2015;10.427
A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2014;8.947
A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2013;8.802
A Delitos;6 Contra la libertad;6.2 Amenazas;;Hombres;2023;21.143
A Delitos;6 Contra la libertad;6.2 Amenazas;;Hombres;2022;21.389
A Delitos;6 Contra la libertad;6.2 Amenazas;;Hombres;2021;21.555
A Delitos;6 Contra la libertad;6.2 Amenazas;;Hombres;2020;15.428
A Delitos;6 Contra la libertad;6.2 Amenazas;;Hombres;2019;19.058
A Delitos;6 Contra la libertad;6.2 Amenazas;;Hombres;2018;18.754
A Delitos;6 Contra la libertad;6.2 Amenazas;;Hombres;2017;17.987
A Delitos;6 Contra la libertad;6.2 Amenazas;;Hombres;2016;15.539
A Delitos;6 Contra la libertad;6.2 Amenazas;;Hombres;2015;9.889
A Delitos;6 Contra la libertad;6.2 Amenazas;;Hombres;2014;8.658
A Delitos;6 Contra la libertad;6.2 Amenazas;;Hombres;2013;8.516
A Delitos;6 Contra la libertad;6.2 Amenazas;;Mujeres;2023;2.843
A Delitos;6 Contra la libertad;6.2 Amenazas;;Mujeres;2022;3.261
A Delitos;6 Contra la libertad;6.2 Amenazas;;Mujeres;2021;3.577
A Delitos;6 Contra la libertad;6.2 Amenazas;;Mujeres;2020;2.555
A Delitos;6 Contra la libertad;6.2 Amenazas;;Mujeres;2019;3.340
A Delitos;6 Contra la libertad;6.2 Amenazas;;Mujeres;2018;3.232
A Delitos;6 Contra la libertad;6.2 Amenazas;;Mujeres;2017;3.162
A Delitos;6 Contra la libertad;6.2 Amenazas;;Mujeres;2016;2.288
A Delitos;6 Contra la libertad;6.2 Amenazas;;Mujeres;2015;538
A Delitos;6 Contra la libertad;6.2 Amenazas;;Mujeres;2014;289
A Delitos;6 Contra la libertad;6.2 Amenazas;;Mujeres;2013;286
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Total;2023;6.557
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Total;2022;6.410
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Total;2021;6.119
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Total;2020;4.386
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Total;2019;5.430
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Total;2018;5.017
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Total;2017;4.634
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Total;2016;3.808
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Total;2015;2.394
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Total;2014;2.000
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Total;2013;1.983
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Hombres;2023;5.708
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Hombres;2022;5.513
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Hombres;2021;5.264
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Hombres;2020;3.755
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Hombres;2019;4.607
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Hombres;2018;4.313
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Hombres;2017;3.964
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Hombres;2016;3.332
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Hombres;2015;2.245
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Hombres;2014;1.892
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Hombres;2013;1.882
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Mujeres;2023;849
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Mujeres;2022;897
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Mujeres;2021;855
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Mujeres;2020;631
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Mujeres;2019;823
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Mujeres;2018;704
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Mujeres;2017;670
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Mujeres;2016;476
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Mujeres;2015;149
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Mujeres;2014;108
A Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;Mujeres;2013;101
A Delitos;7 Torturas e integridad moral;;;Total;2023;10.097
A Delitos;7 Torturas e integridad moral;;;Total;2022;9.842
A Delitos;7 Torturas e integridad moral;;;Total;2021;9.700
A Delitos;7 Torturas e integridad moral;;;Total;2020;7.078
A Delitos;7 Torturas e integridad moral;;;Total;2019;8.102
A Delitos;7 Torturas e integridad moral;;;Total;2018;7.819
A Delitos;7 Torturas e integridad moral;;;Total;2017;7.198
A Delitos;7 Torturas e integridad moral;;;Total;2016;6.247
A Delitos;7 Torturas e integridad moral;;;Total;2015;3.995
A Delitos;7 Torturas e integridad moral;;;Total;2014;2.545
A Delitos;7 Torturas e integridad moral;;;Total;2013;2.771
A Delitos;7 Torturas e integridad moral;;;Hombres;2023;9.583
A Delitos;7 Torturas e integridad moral;;;Hombres;2022;9.247
A Delitos;7 Torturas e integridad moral;;;Hombres;2021;9.169
A Delitos;7 Torturas e integridad moral;;;Hombres;2020;6.676
A Delitos;7 Torturas e integridad moral;;;Hombres;2019;7.673
A Delitos;7 Torturas e integridad moral;;;Hombres;2018;7.360
A Delitos;7 Torturas e integridad moral;;;Hombres;2017;6.773
A Delitos;7 Torturas e integridad moral;;;Hombres;2016;5.891
A Delitos;7 Torturas e integridad moral;;;Hombres;2015;3.699
A Delitos;7 Torturas e integridad moral;;;Hombres;2014;2.348
A Delitos;7 Torturas e integridad moral;;;Hombres;2013;2.576
A Delitos;7 Torturas e integridad moral;;;Mujeres;2023;514
A Delitos;7 Torturas e integridad moral;;;Mujeres;2022;595
A Delitos;7 Torturas e integridad moral;;;Mujeres;2021;531
A Delitos;7 Torturas e integridad moral;;;Mujeres;2020;402
A Delitos;7 Torturas e integridad moral;;;Mujeres;2019;429
A Delitos;7 Torturas e integridad moral;;;Mujeres;2018;459
A Delitos;7 Torturas e integridad moral;;;Mujeres;2017;425
A Delitos;7 Torturas e integridad moral;;;Mujeres;2016;356
A Delitos;7 Torturas e integridad moral;;;Mujeres;2015;296
A Delitos;7 Torturas e integridad moral;;;Mujeres;2014;197
A Delitos;7 Torturas e integridad moral;;;Mujeres;2013;195
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Total;2023;10.064
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Total;2022;9.789
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Total;2021;9.589
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Total;2020;7.030
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Total;2019;8.014
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Total;2018;7.733
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Total;2017;7.156
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Total;2016;6.168
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Total;2015;3.921
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Total;2014;2.476
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Total;2013;2.718
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Hombres;2023;9.551
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Hombres;2022;9.215
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Hombres;2021;9.078
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Hombres;2020;6.643
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Hombres;2019;7.605
A Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;Hombres;2018;7.290
